rank,player,team,league,pos_group,age,minutes,breakout_score,league_factor,overall,potential,ceiling,value_eur,npxg90,xa90,npga90,shots90,kp90,xgchain90,xgbuildup90,z_npxg90,z_xa90,z_npga90,z_shots90,z_kp90,z_xgchain90,z_xgbuildup90
233,Pathé Mboup,Brest,FRA-Ligue 1,MF,21,1054,-0.092,0.815,70.0,79.0,9.0,3600000.0,0.303,0.124,0.085,1.964,0.769,0.618,0.192,1.282,-0.339,-0.951,0.486,-0.868,0.461,-0.712
234,Moisés Caicedo,Chelsea,ENG-Premier League,MF,23,2795,-0.094,1.0,88.0,90.0,2.0,107000000.0,0.049,0.085,0.129,0.869,0.58,0.554,0.495,-0.784,-0.537,-0.587,-0.569,-0.952,0.736,2.039
235,Yasin Ayari,Brighton,ENG-Premier League,MF,21,1929,-0.095,1.0,79.0,85.0,6.0,26000000.0,0.099,0.065,0.28,1.913,0.7,0.369,0.256,-0.267,-0.765,0.342,0.936,-0.737,-0.267,0.095
236,Nnamdi Collins,Frankfurt,GER-Bundesliga,DF,21,1500,-0.105,0.887,74.0,83.0,9.0,9000000.0,0.041,0.027,0.18,0.18,0.18,0.413,0.366,-0.374,-0.536,0.977,-1.21,-0.779,0.55,0.637
237,Honest Ahanor,Atalanta,ITA-Serie A,DF,17,1377,-0.109,0.928,72.0,81.0,9.0,4500000.0,0.156,0.008,0.0,0.85,0.131,0.215,0.19,2.361,-0.859,-1.078,0.894,-0.877,-0.643,-0.56
238,Lorenzo Bernasconi,Atalanta,ITA-Serie A,MF,21,1572,-0.114,0.928,70.0,78.0,8.0,3600000.0,0.024,0.18,0.172,0.515,1.546,0.445,0.371,-1.067,0.441,-0.399,-1.134,0.576,-0.03,0.814
239,Cristhian Mosquera,Arsenal,ENG-Premier League,DF,21,994,-0.128,1.0,77.0,85.0,8.0,22000000.0,0.008,0.027,0.0,0.091,0.453,0.488,0.469,-1.102,-0.492,-1.078,-1.441,-0.026,1.424,1.816
240,Miguel Román,Celta Vigo,ESP-La Liga,MF,22,1311,-0.137,0.899,74.0,80.0,6.0,6500000.0,0.076,0.143,0.069,0.618,1.167,0.584,0.434,-0.587,-0.011,-1.0,-1.023,-0.113,0.58,1.193
241,Eren Dinkçi,Heidenheim,GER-Bundesliga,MF,23,1379,-0.138,0.887,73.0,79.0,6.0,4800000.0,0.269,0.073,0.261,1.893,0.653,0.431,0.152,1.191,-0.773,0.045,0.599,-0.953,-0.191,-0.885
242,Máximo Perrone,Como,ITA-Serie A,MF,22,2742,-0.139,0.928,76.0,84.0,8.0,16000000.0,0.082,0.083,0.23,0.591,1.05,0.541,0.402,-0.508,-0.624,-0.068,-1.033,-0.246,0.456,1.049
243,Willian Pacho,PSG,FRA-Ligue 1,DF,23,1914,-0.139,0.815,88.0,90.0,2.0,105500000.0,0.019,0.004,0.0,0.376,0.094,0.622,0.618,-0.899,-0.939,-1.078,-0.718,-0.992,1.559,2.092
244,Bryan Okoh,Auxerre,FRA-Ligue 1,DF,22,1005,-0.141,0.815,71.0,79.0,8.0,3900000.0,0.087,0.023,0.269,0.716,0.269,0.164,0.145,0.49,-0.643,1.74,0.209,-0.626,-1.116,-1.039
245,Tarik Muharemovic,Sassuolo,ITA-Serie A,DF,22,2835,-0.143,0.928,74.0,80.0,6.0,6000000.0,0.09,0.029,0.127,0.635,0.19,0.199,0.195,0.816,-0.477,0.439,0.227,-0.735,-0.748,-0.522
246,Leopold Querfeld,Union Berlin,GER-Bundesliga,DF,21,2705,-0.147,0.887,77.0,84.0,7.0,20000000.0,0.054,0.077,0.033,0.965,0.699,0.165,0.132,-0.087,0.303,-0.698,1.119,0.403,-1.028,-1.042
247,Emirhan İlkhan,Torino,ITA-Serie A,MF,21,1001,-0.148,0.928,67.0,74.0,7.0,2100000.0,0.212,0.11,0.27,1.169,1.079,0.32,0.195,0.76,-0.33,0.16,-0.259,-0.199,-0.654,-0.512
248,Nicolò Bertola,Udinese,ITA-Serie A,DF,22,1763,-0.163,0.928,72.0,78.0,6.0,3400000.0,0.051,0.079,0.051,0.664,0.562,0.229,0.146,-0.104,0.408,-0.468,0.316,0.149,-0.55,-0.896
249,Ísak Jóhannesson,Köln,GER-Bundesliga,MF,22,1809,-0.172,0.887,74.0,81.0,7.0,8500000.0,0.071,0.12,0.149,0.697,1.642,0.478,0.353,-0.638,-0.279,-0.565,-0.933,0.615,0.03,0.566
250,Mamadou Coulibaly,Monaco,FRA-Ligue 1,MF,21,1381,-0.18,0.815,71.0,82.0,11.0,4200000.0,0.13,0.115,0.391,0.847,0.782,0.519,0.365,-0.196,-0.43,0.58,-0.828,-0.849,0.029,0.436
251,Francisco Perez,Rayo Vallecano,ESP-La Liga,MF,22,1237,-0.181,0.899,65.0,82.0,17.0,1700000.0,0.183,0.122,0.218,1.237,0.946,0.464,0.193,0.416,-0.242,-0.173,-0.219,-0.468,-0.006,-0.572
252,Nick Woltemade,Newcastle,ENG-Premier League,FW,23,1902,-0.187,1.0,80.0,85.0,5.0,32000000.0,0.355,0.137,0.473,1.514,1.041,0.416,0.109,0.05,0.194,0.369,-1.072,0.15,-0.567,-0.431
253,Mateo Joseph,Mallorca,ESP-La Liga,MF,21,1699,-0.189,0.899,72.0,82.0,10.0,5500000.0,0.286,0.084,0.265,1.748,0.689,0.382,0.091,1.386,-0.642,0.085,0.444,-0.881,-0.401,-1.316
254,Ángel Pérez,Alavés,ESP-La Liga,MF,22,1288,-0.191,0.899,70.0,79.0,9.0,3600000.0,0.084,0.145,0.28,0.978,1.677,0.364,0.181,-0.506,-0.0,0.166,-0.555,0.706,-0.491,-0.66
255,Lamine Sy,Auxerre,FRA-Ligue 1,DF,22,1536,-0.193,0.815,68.0,77.0,9.0,2600000.0,0.062,0.086,0.0,0.762,0.762,0.274,0.169,-0.01,0.345,-1.078,0.333,0.405,-0.475,-0.875
256,Luis Henrique,Inter,ITA-Serie A,MF,23,1624,-0.204,0.928,78.0,83.0,5.0,21000000.0,0.064,0.121,0.166,0.831,1.219,0.479,0.319,-0.68,-0.205,-0.431,-0.711,0.034,0.142,0.423
257,Valentín Gómez,Real Betis,ESP-La Liga,DF,22,1882,-0.208,0.899,76.0,84.0,8.0,15500000.0,0.046,0.101,0.048,0.526,0.478,0.239,0.186,-0.26,0.742,-0.525,-0.162,-0.085,-0.532,-0.636
258,Rocco Reitz,Gladbach,GER-Bundesliga,MF,23,2627,-0.213,0.887,77.0,83.0,6.0,16500000.0,0.091,0.137,0.137,1.61,0.959,0.452,0.278,-0.457,-0.102,-0.632,0.237,-0.467,-0.093,0.02
259,Ryan Gravenberch,Liverpool,ENG-Premier League,MF,23,2992,-0.217,1.0,86.0,89.0,3.0,84000000.0,0.046,0.071,0.241,1.143,0.872,0.392,0.322,-0.818,-0.695,0.1,-0.175,-0.429,-0.139,0.639
260,Hugo Rincón,Girona,ESP-La Liga,DF,22,1750,-0.217,0.899,74.0,82.0,8.0,9000000.0,0.036,0.068,0.103,0.36,0.514,0.284,0.216,-0.489,0.181,0.112,-0.661,-0.001,-0.241,-0.416
261,Hugo Sotelo,Celta Vigo,ESP-La Liga,MF,21,1338,-0.217,0.899,74.0,81.0,7.0,8500000.0,0.006,0.149,0.135,0.135,1.682,0.477,0.434,-1.242,0.046,-0.636,-1.65,0.714,0.059,1.187
262,Giovanni Fabbian,Bologna,ITA-Serie A,MF,22,1173,-0.218,0.928,73.0,82.0,9.0,7000000.0,0.205,0.127,0.153,1.688,0.691,0.387,0.152,0.684,-0.145,-0.504,0.436,-0.843,-0.318,-0.835
263,Liam Delap,Chelsea,ENG-Premier League,FW,22,1107,-0.22,1.0,77.0,83.0,6.0,17000000.0,0.409,0.014,0.081,2.927,0.244,0.611,0.276,0.422,-1.494,-1.779,0.953,-1.628,0.484,1.5
264,Jaydee Canvot,Crystal Palace,ENG-Premier League,DF,19,1336,-0.223,1.0,74.0,85.0,11.0,8500000.0,0.105,0.006,0.0,0.472,0.202,0.259,0.257,1.373,-0.896,-1.078,-0.167,-0.67,-0.217,0.094
265,Samuel Amo-Ameyaw,Strasbourg,FRA-Ligue 1,MF,19,1047,-0.226,0.815,70.0,80.0,10.0,3400000.0,0.102,0.106,0.344,1.461,1.117,0.424,0.281,-0.432,-0.519,0.344,-0.105,-0.36,-0.39,-0.12
266,Tyrhys Dolan,Espanyol,ESP-La Liga,MF,23,2415,-0.226,0.899,74.0,79.0,5.0,6500000.0,0.103,0.165,0.261,1.267,1.193,0.367,0.161,-0.332,0.215,0.063,-0.18,-0.072,-0.475,-0.805
267,Devyne Rensch,Roma,ITA-Serie A,MF,22,1184,-0.231,0.928,74.0,79.0,5.0,6000000.0,0.043,0.206,0.38,0.456,0.76,0.37,0.274,-0.879,0.731,0.789,-1.213,-0.727,-0.404,0.085
268,Daouda Guindo,Brest,FRA-Ligue 1,DF,22,1686,-0.237,0.815,70.0,75.0,5.0,2300000.0,0.055,0.043,0.107,1.121,0.48,0.173,0.107,-0.153,-0.324,0.042,1.312,-0.183,-1.065,-1.287
269,Diego López,Valencia,ESP-La Liga,MF,23,1762,-0.237,0.899,77.0,82.0,5.0,16000000.0,0.178,0.104,0.255,1.43,0.817,0.426,0.163,0.369,-0.434,0.032,0.031,-0.675,-0.191,-0.792
270,Javi Rodríguez,Celta Vigo,ESP-La Liga,DF,22,2558,-0.24,0.899,,,,,0.034,0.038,0.035,0.457,0.352,0.35,0.331,-0.517,-0.352,-0.671,-0.369,-0.376,0.184,0.424
271,Noahkai Banks,Augsburg,GER-Bundesliga,DF,18,1725,-0.248,0.887,71.0,83.0,12.0,4100000.0,0.064,0.048,0.104,0.47,0.365,0.247,0.193,0.144,-0.179,0.113,-0.351,-0.357,-0.506,-0.602
272,Josh Doig,Sassuolo,ITA-Serie A,DF,23,1917,-0.249,0.928,73.0,78.0,5.0,4300000.0,0.035,0.071,0.0,0.516,0.704,0.265,0.2,-0.471,0.257,-1.078,-0.141,0.489,-0.313,-0.489
273,Bryan Zaragoza,Celta Vigo,ESP-La Liga,FW,23,1131,-0.25,0.899,,,,,0.093,0.18,0.08,2.069,1.432,0.494,0.323,-1.815,0.531,-1.832,-0.577,0.701,-0.417,1.659
274,Mika Biereth,Monaco,FRA-Ligue 1,FW,22,1074,-0.253,0.815,77.0,84.0,7.0,21500000.0,0.269,0.193,0.335,1.592,1.508,0.629,0.204,-0.883,0.472,-0.727,-1.383,0.57,-0.048,0.23
275,Joaquín Panichelli,Strasbourg,FRA-Ligue 1,FW,22,2193,-0.263,0.815,77.0,85.0,8.0,24000000.0,0.417,0.121,0.492,2.38,0.862,0.601,0.159,-0.054,-0.332,-0.025,-0.462,-0.605,-0.169,-0.193
276,Nobel Mendy,Rayo Vallecano,ESP-La Liga,DF,20,1797,-0.263,0.899,75.0,85.0,10.0,11500000.0,0.109,0.018,0.1,0.551,0.15,0.198,0.178,1.193,-0.691,0.081,-0.087,-0.842,-0.797,-0.698
277,Jérémy Jacquet,Rennes,FRA-Ligue 1,DF,20,1671,-0.267,0.815,76.0,85.0,9.0,15000000.0,0.042,0.031,0.0,0.592,0.431,0.378,0.368,-0.422,-0.521,-1.078,-0.129,-0.287,0.132,0.437
278,Pape Demba Diop,Toulouse,FRA-Ligue 1,MF,21,1181,-0.268,0.815,70.0,79.0,9.0,3600000.0,0.117,0.107,0.229,2.21,1.448,0.291,0.185,-0.305,-0.502,-0.234,0.775,0.121,-0.977,-0.758
279,Javi López,Oviedo,ESP-La Liga,DF,23,1711,-0.27,0.899,,,,,0.037,0.063,0.053,0.368,0.947,0.209,0.18,-0.457,0.081,-0.469,-0.637,0.997,-0.728,-0.678
280,Emersonn,Toulouse,FRA-Ligue 1,FW,21,1499,-0.274,0.815,72.0,81.0,9.0,5000000.0,0.445,0.113,0.48,3.062,1.141,0.472,0.071,0.105,-0.426,-0.079,0.334,-0.098,-0.735,-1.017
281,Jan Thielmann,Köln,GER-Bundesliga,MF,23,1540,-0.276,0.887,72.0,77.0,5.0,3500000.0,0.12,0.058,0.234,1.578,0.818,0.417,0.281,-0.188,-0.926,-0.104,0.196,-0.691,-0.262,0.043
282,Joaquín Martínez Gauna,Sevilla,ESP-La Liga,MF,22,1408,-0.28,0.899,72.0,80.0,8.0,5000000.0,0.095,0.135,0.32,1.087,1.278,0.316,0.166,-0.404,-0.099,0.387,-0.414,0.066,-0.722,-0.771
283,Davide Bartesaghi,Milan,ITA-Serie A,MF,19,2441,-0.28,0.928,71.0,81.0,10.0,3900000.0,0.051,0.144,0.074,0.811,1.622,0.362,0.294,-0.808,0.047,-0.959,-0.738,0.702,-0.445,0.237
284,Samuel Mbangula,Werder Bremen,GER-Bundesliga,MF,21,1171,-0.287,0.887,74.0,85.0,11.0,9500000.0,0.141,0.08,0.384,1.307,1.076,0.331,0.147,0.009,-0.702,0.717,-0.152,-0.282,-0.673,-0.926
285,Fer López,Celta Vigo,ESP-La Liga,MF,21,1170,-0.287,0.899,,,,,0.141,0.104,0.154,1.0,0.846,0.462,0.285,0.026,-0.433,-0.529,-0.527,-0.628,-0.016,0.099
286,Nhoa Sangui,Paris FC,FRA-Ligue 1,DF,19,1737,-0.288,0.815,70.0,82.0,12.0,3600000.0,0.028,0.064,0.0,0.207,0.881,0.383,0.324,-0.728,0.007,-1.078,-1.179,0.655,0.163,0.146
287,Arnaud Kalimuendo,Frankfurt,GER-Bundesliga,FW,23,1417,-0.303,0.887,78.0,82.0,4.0,20500000.0,0.31,0.101,0.445,1.905,1.397,0.478,0.13,-0.499,-0.452,-0.063,-0.82,0.593,-0.525,-0.353
288,Luka Sučić,Real Sociedad,ESP-La Liga,MF,22,1022,-0.307,0.899,76.0,81.0,5.0,11500000.0,0.155,0.032,0.352,2.025,0.793,0.305,0.136,0.157,-1.2,0.568,0.804,-0.714,-0.775,-0.987
289,Mohamed Ali Cho,Nice,FRA-Ligue 1,FW,21,1667,-0.311,0.815,75.0,82.0,7.0,11500000.0,0.231,0.19,0.378,1.728,1.242,0.523,0.251,-1.095,0.434,-0.536,-1.224,0.086,-0.513,0.669
290,Andrey Santos,Chelsea,ENG-Premier League,MF,21,1260,-0.313,1.0,80.0,87.0,7.0,42500000.0,0.183,0.049,0.071,0.786,0.571,0.452,0.314,0.608,-0.957,-0.94,-0.69,-0.966,0.182,0.57
291,Pietro Comuzzo,Fiorentina,ITA-Serie A,DF,20,1696,-0.316,0.928,75.0,86.0,11.0,11500000.0,0.043,0.002,0.053,0.531,0.159,0.318,0.31,-0.282,-0.961,-0.444,-0.097,-0.809,0.039,0.343
292,Andrew Omobamidele,Strasbourg,FRA-Ligue 1,DF,23,1357,-0.316,0.815,73.0,78.0,5.0,4200000.0,0.062,0.0,0.066,0.265,0.0,0.439,0.439,-0.02,-1.003,-0.382,-1.021,-1.188,0.491,0.91
293,Loum Tchaouna,Burnley,ENG-Premier League,MF,21,1272,-0.327,1.0,72.0,78.0,6.0,3800000.0,0.089,0.085,0.212,1.627,0.92,0.298,0.14,-0.368,-0.534,-0.074,0.524,-0.344,-0.648,-0.848
294,Rodrigo Gomes,Wolves,ENG-Premier League,MF,22,960,-0.33,1.0,73.0,82.0,9.0,7000000.0,0.214,0.014,0.281,1.969,0.281,0.317,0.095,0.939,-1.371,0.35,1.017,-1.485,-0.548,-1.215
295,Vitor Reis,Girona,ESP-La Liga,DF,19,3138,-0.337,0.899,76.0,86.0,10.0,15000000.0,0.057,0.025,0.057,0.545,0.229,0.273,0.235,-0.011,-0.574,-0.414,-0.105,-0.659,-0.316,-0.278
296,Matias Moreno,Levante,ESP-La Liga,DF,21,2252,-0.338,0.899,73.0,79.0,6.0,4400000.0,0.051,0.027,0.0,0.4,0.32,0.337,0.313,-0.146,-0.533,-1.078,-0.542,-0.451,0.096,0.287
297,Ilyas Ansah,Union Berlin,GER-Bundesliga,MF,20,1892,-0.35,0.887,73.0,83.0,10.0,6500000.0,0.182,0.072,0.285,1.57,0.809,0.313,0.142,0.388,-0.778,0.177,0.185,-0.706,-0.759,-0.96
298,Aurèle Amenda,Frankfurt,GER-Bundesliga,DF,22,1678,-0.35,0.887,74.0,80.0,6.0,6000000.0,0.054,0.018,0.0,0.536,0.322,0.307,0.296,-0.082,-0.695,-1.078,-0.153,-0.456,-0.125,0.136
299,Iker Losada,Levante,ESP-La Liga,MF,23,902,-0.354,0.899,72.0,77.0,5.0,3500000.0,0.214,0.053,0.399,1.397,1.098,0.236,0.04,0.707,-0.976,0.827,-0.012,-0.224,-1.112,-1.689
300,Illia Zabarnyi,PSG,FRA-Ligue 1,DF,22,2387,-0.356,0.815,80.0,85.0,5.0,29500000.0,0.022,0.006,0.038,0.151,0.151,0.5,0.499,-0.854,-0.906,-0.682,-1.333,-0.873,0.849,1.309
301,Tanner Tessmann,Lyon,FRA-Ligue 1,MF,23,1953,-0.358,0.815,76.0,82.0,6.0,11000000.0,0.118,0.065,0.046,1.198,0.599,0.57,0.469,-0.291,-0.915,-1.148,-0.415,-1.115,0.251,1.128
302,Bradley Locko,Brest,FRA-Ligue 1,DF,23,1286,-0.358,0.815,75.0,80.0,5.0,8000000.0,0.005,0.093,0.14,0.14,0.56,0.276,0.253,-1.196,0.46,0.39,-1.362,-0.017,-0.462,-0.321
303,Rafa Marín,Villarreal,ESP-La Liga,DF,23,1979,-0.361,0.899,,,,,0.011,0.045,0.045,0.227,0.318,0.378,0.336,-1.058,-0.227,-0.552,-1.06,-0.454,0.365,0.461
304,Murillo,Nottingham,ENG-Premier League,DF,23,2130,-0.362,1.0,82.0,86.0,4.0,40000000.0,0.025,0.013,0.042,0.465,0.338,0.269,0.256,-0.661,-0.76,-0.534,-0.189,-0.321,-0.148,0.08
305,Mohamed Kaba,Nantes,FRA-Ligue 1,MF,23,918,-0.364,0.815,68.0,75.0,7.0,2300000.0,0.132,0.191,0.196,1.078,1.176,0.4,0.154,-0.174,0.309,-0.397,-0.556,-0.274,-0.496,-0.96
306,Antoine Mendy,Nice,FRA-Ligue 1,DF,21,2097,-0.367,0.815,72.0,81.0,9.0,4900000.0,0.094,0.002,0.043,0.73,0.043,0.279,0.254,0.645,-0.978,-0.628,0.245,-1.099,-0.444,-0.314
307,Aimar Oroz,Osasuna,ESP-La Liga,MF,23,2139,-0.369,0.899,77.0,82.0,5.0,16000000.0,0.069,0.157,0.084,1.22,1.557,0.301,0.185,-0.649,0.137,-0.914,-0.241,0.513,-0.798,-0.628
308,Daniel Maldini,Lazio,ITA-Serie A,FW,23,951,-0.371,0.928,74.0,81.0,7.0,8500000.0,0.266,0.112,0.284,2.177,1.041,0.445,0.165,-0.691,-0.257,-0.781,-0.347,-0.017,-0.582,0.081
309,Unai Gómez,Athletic Club,ESP-La Liga,MF,22,936,-0.374,0.899,72.0,78.0,6.0,3800000.0,0.199,0.059,0.192,2.212,0.769,0.293,0.076,0.571,-0.91,-0.316,1.045,-0.752,-0.833,-1.426
310,Matthis Abline,Nantes,FRA-Ligue 1,FW,22,2494,-0.376,0.815,76.0,82.0,6.0,12000000.0,0.276,0.147,0.361,3.067,1.083,0.441,0.137,-0.844,-0.04,-0.613,0.341,-0.204,-0.871,-0.398
311,Jon Aramburu,Real Sociedad,ESP-La Liga,DF,23,2773,-0.378,0.899,77.0,83.0,6.0,16000000.0,0.067,0.014,0.032,0.682,0.357,0.207,0.189,0.222,-0.754,-0.702,0.306,-0.364,-0.74,-0.613
312,Ismaël Koné,Sassuolo,ITA-Serie A,MF,23,2737,-0.381,0.928,75.0,79.0,4.0,8000000.0,0.167,0.058,0.197,0.756,0.756,0.4,0.258,0.322,-0.903,-0.254,-0.811,-0.733,-0.252,-0.037
313,Luca Lipani,Sassuolo,ITA-Serie A,MF,20,1034,-0.381,0.928,69.0,77.0,8.0,3000000.0,0.08,0.097,0.087,1.044,0.957,0.42,0.289,-0.524,-0.477,-0.883,-0.425,-0.4,-0.153,0.194
314,Daniel Svensson,Dortmund,GER-Bundesliga,MF,23,2454,-0.381,0.887,79.0,83.0,4.0,23500000.0,0.107,0.158,0.147,0.44,1.284,0.391,0.233,-0.303,0.117,-0.579,-1.261,0.047,-0.386,-0.305
315,Mateus Fernandes,West Ham,ENG-Premier League,MF,21,3016,-0.386,1.0,79.0,85.0,6.0,27000000.0,0.054,0.1,0.209,0.836,1.104,0.308,0.209,-0.731,-0.36,-0.095,-0.618,-0.015,-0.595,-0.287
316,Djaoui Cissé,Rennes,FRA-Ligue 1,MF,21,981,-0.388,0.815,73.0,83.0,10.0,7000000.0,0.07,0.077,0.0,2.202,1.193,0.407,0.316,-0.7,-0.796,-1.379,0.766,-0.251,-0.465,0.111
317,Ismaël Doukouré,Strasbourg,FRA-Ligue 1,DF,22,2072,-0.395,0.815,77.0,83.0,6.0,15500000.0,0.023,0.032,0.087,0.304,0.261,0.354,0.347,-0.832,-0.503,-0.167,-0.915,-0.643,-0.003,0.3
318,Peque,Sevilla,ESP-La Liga,MF,22,982,-0.397,0.899,,,,,0.07,0.056,0.275,1.375,1.375,0.283,0.184,-0.64,-0.943,0.141,-0.041,0.221,-0.885,-0.635
319,Kenneth Taylor,Lazio,ITA-Serie A,MF,23,1394,-0.403,0.928,78.0,83.0,5.0,21000000.0,0.135,0.07,0.323,1.033,0.839,0.294,0.171,0.009,-0.77,0.463,-0.441,-0.596,-0.787,-0.696
320,Leny Yoro,Manchester Utd,ENG-Premier League,DF,19,1740,-0.403,1.0,78.0,86.0,8.0,28500000.0,0.065,0.011,0.0,0.466,0.207,0.242,0.233,0.336,-0.784,-1.078,-0.187,-0.657,-0.342,-0.106
321,Khalis Merah,Lyon,FRA-Ligue 1,MF,18,1130,-0.406,0.815,70.0,80.0,10.0,3400000.0,0.108,0.12,0.08,0.478,0.956,0.536,0.398,-0.382,-0.38,-0.98,-1.262,-0.596,0.1,0.656
322,Lucas Bergvall,Tottenham,ENG-Premier League,MF,19,965,-0.411,1.0,78.0,87.0,9.0,30000000.0,0.134,0.027,0.373,1.119,0.466,0.305,0.158,0.099,-1.217,0.915,-0.209,-1.154,-0.609,-0.7
323,Kike Salas,Sevilla,ESP-La Liga,DF,23,2203,-0.413,0.899,,,,,0.045,0.016,0.082,0.776,0.286,0.178,0.151,-0.279,-0.721,-0.133,0.59,-0.528,-0.928,-0.893
324,Gvidas Gineitis,Torino,ITA-Serie A,MF,21,1756,-0.415,0.928,70.0,79.0,9.0,3600000.0,0.048,0.137,0.051,1.384,1.333,0.288,0.211,-0.834,-0.032,-1.087,0.029,0.222,-0.814,-0.391
325,Bashir Humphreys,Burnley,ENG-Premier League,DF,22,1578,-0.416,1.0,74.0,82.0,8.0,9000000.0,0.03,0.049,0.0,0.513,0.513,0.19,0.167,-0.538,-0.055,-1.078,-0.027,0.129,-0.709,-0.636
326,Dehmaine Assoumani,Nantes,FRA-Ligue 1,MF,20,1276,-0.418,0.815,,,,,0.127,0.144,0.071,2.045,1.411,0.281,0.125,-0.219,-0.15,-1.026,0.582,0.067,-1.02,-1.156
327,Renato Veiga,Villarreal,ESP-La Liga,DF,22,2481,-0.418,0.899,78.0,83.0,5.0,19500000.0,0.007,0.004,0.0,0.326,0.109,0.438,0.433,-1.135,-0.93,-1.078,-0.762,-0.937,0.751,1.164
328,Beñat Turrientes,Real Sociedad,ESP-La Liga,MF,23,1348,-0.422,0.899,76.0,82.0,6.0,12000000.0,0.059,0.079,0.2,1.335,0.801,0.373,0.271,-0.746,-0.696,-0.272,-0.092,-0.701,-0.449,0.001
329,Luca Netz,Gladbach,GER-Bundesliga,MF,22,940,-0.422,0.887,,,,,0.004,0.233,0.191,0.191,0.957,0.364,0.316,-1.265,0.908,-0.335,-1.579,-0.47,-0.514,0.299
330,Thierno Barry,Everton,ENG-Premier League,FW,22,1914,-0.423,1.0,76.0,84.0,8.0,17000000.0,0.43,0.047,0.376,1.787,0.564,0.482,0.101,0.568,-1.037,-0.163,-0.681,-0.913,-0.212,-0.52
331,Santiago Castro,Bologna,ITA-Serie A,FW,20,2359,-0.428,0.928,77.0,84.0,7.0,21000000.0,0.317,0.104,0.343,2.404,1.068,0.415,0.06,-0.37,-0.36,-0.478,-0.046,0.039,-0.735,-1.045
332,Louis Mouton,Angers,FRA-Ligue 1,MF,23,1891,-0.429,0.815,72.0,79.0,7.0,4700000.0,0.147,0.111,0.143,1.713,1.047,0.379,0.154,-0.051,-0.465,-0.664,0.191,-0.463,-0.587,-0.966
333,Dermane Karim,Lorient,FRA-Ligue 1,MF,21,1365,-0.433,0.815,70.0,80.0,10.0,3600000.0,0.09,0.163,0.198,1.055,1.055,0.408,0.202,-0.536,0.037,-0.388,-0.583,-0.451,-0.464,-0.646
334,Diego Coppola,Paris FC,FRA-Ligue 1,DF,21,1170,-0.433,0.815,74.0,80.0,6.0,6000000.0,0.03,0.052,0.154,0.385,0.231,0.236,0.211,-0.684,-0.19,0.536,-0.695,-0.706,-0.696,-0.596
335,Rahim Bonkano,Oviedo,ESP-La Liga,DF,23,1713,-0.45,0.899,,,,,0.003,0.083,0.0,0.158,0.893,0.258,0.21,-1.227,0.426,-1.078,-1.27,0.873,-0.413,-0.463
336,Yassine Kechta,Le Havre,FRA-Ligue 1,MF,23,1332,-0.451,0.815,73.0,80.0,7.0,6000000.0,0.104,0.124,0.203,1.419,1.014,0.385,0.177,-0.413,-0.339,-0.364,-0.155,-0.512,-0.564,-0.812
337,Tyler Morton,Lyon,FRA-Ligue 1,MF,22,2517,-0.452,0.815,79.0,84.0,5.0,24500000.0,0.074,0.087,0.143,1.001,1.001,0.435,0.358,-0.673,-0.701,-0.663,-0.647,-0.53,-0.343,0.389
338,Rodrigo Mendoza,Atlético Madrid,ESP-La Liga,MF,20,1228,-0.455,0.899,71.0,84.0,13.0,4500000.0,0.082,0.096,0.147,1.246,1.099,0.341,0.198,-0.529,-0.517,-0.569,-0.208,-0.222,-0.603,-0.537
339,Eduardo Camavinga,Real Madrid,ESP-La Liga,MF,22,1528,-0.456,0.899,81.0,85.0,4.0,37500000.0,0.067,0.107,0.059,0.766,0.884,0.425,0.342,-0.667,-0.395,-1.054,-0.831,-0.568,-0.192,0.514
340,Nathaniel Brown,Frankfurt,GER-Bundesliga,MF,22,2656,-0.471,0.887,80.0,86.0,6.0,31500000.0,0.07,0.108,0.271,0.61,1.152,0.341,0.205,-0.65,-0.407,0.099,-1.043,-0.162,-0.626,-0.507
341,Enzo Boyomo,Osasuna,ESP-La Liga,DF,23,2542,-0.472,0.899,79.0,85.0,6.0,25000000.0,0.041,0.05,0.106,0.389,0.319,0.182,0.132,-0.363,-0.132,0.151,-0.573,-0.453,-0.901,-1.033
342,Habib Diarra,Sunderland,ENG-Premier League,MF,21,1405,-0.475,1.0,77.0,83.0,6.0,17000000.0,0.16,0.041,0.192,1.665,0.448,0.264,0.12,0.369,-1.05,-0.198,0.579,-1.186,-0.834,-1.004
343,Rafik Belghali,Hellas Verona,ITA-Serie A,MF,23,1920,-0.477,0.928,70.0,74.0,4.0,2100000.0,0.122,0.104,0.094,0.984,1.312,0.314,0.133,-0.117,-0.4,-0.844,-0.506,0.189,-0.684,-0.978
344,Arthur Avom,Lorient,FRA-Ligue 1,MF,20,2119,-0.479,0.815,74.0,82.0,8.0,9000000.0,0.045,0.135,0.127,0.892,1.317,0.396,0.285,-0.918,-0.237,-0.741,-0.775,-0.07,-0.517,-0.094
345,William Mikelbrencis,Hamburger SV,GER-Bundesliga,MF,21,1372,-0.482,0.887,69.0,80.0,11.0,3000000.0,0.096,0.185,0.262,0.787,1.05,0.326,0.055,-0.406,0.402,0.052,-0.816,-0.324,-0.698,-1.586
346,Abdoul Ouattara,Strasbourg,FRA-Ligue 1,MF,19,1768,-0.499,0.815,71.0,80.0,9.0,4000000.0,0.143,0.091,0.102,1.374,0.305,0.451,0.32,-0.078,-0.662,-0.869,-0.208,-1.543,-0.272,0.137
